Total Qty,Reg Qty,Foil Qty,Card,Set,Mana Cost,Card Type,Color,Rarity,Mvid,Single Price,Single Foil Price,Total Price,Price Source,Notes
3,3,0,Rush of Adrenaline,Shadows over Innistrad,R,Instant,Red,Common,409932,,,,cardshark,
1,1,0,Sanguinary Mage,Shadows over Innistrad,1R,Creature  - Vampire Wizard,Red,Common,409933,,,,cardshark,
2,2,0,Senseless Rage,Shadows over Innistrad,1R,Enchantment  - Aura,Red,Common,409935,,,,cardshark,
1,1,0,Skin Invasion,Shadows over Innistrad,R,Enchantment  - Aura,Red,Uncommon,409937,,,,cardshark,
1,1,0,Spiteful Motives,Shadows over Innistrad,3R,Enchantment  - Aura,Red,Uncommon,409939,,,,cardshark,
1,1,0,Stensia Masquerade,Shadows over Innistrad,2R,Enchantment,Red,Uncommon,409940,,,,cardshark,
3,3,0,Structural Distortion,Shadows over Innistrad,3R,Sorcery,Red,Common,409941,,,,cardshark,
2,2,0,Tormenting Voice,Shadows over Innistrad,1R,Sorcery,Red,Common,409942,,,,cardshark,
3,3,0,Uncaged Fury,Shadows over Innistrad,2R,Instant,Red,Common,409944,,,,cardshark,
3,3,0,Vessel of Volatility,Shadows over Innistrad,1R,Enchantment,Red,Common,409945,,,,cardshark,
1,1,0,Village Messenger,Shadows over Innistrad,R,Creature  - Human Werewolf,Red,Uncommon,409946,,,,cardshark,
2,2,0,Voldaren Duelist,Shadows over Innistrad,3R,Creature  - Vampire Warrior,Red,Common,409948,,,,cardshark,
1,1,0,Barrage Ogre,Duel Decks: Elves vs. Inventors,3RR,Creature  - Ogre Warrior,Red,Uncommon,442780,,,,cardshark,
2,2,0,Galvanic Blast,Duel Decks: Elves vs. Inventors,R,Instant,Red,Common,442781,,,,cardshark,
1,1,0,Ghirapur Gearcrafter,Duel Decks: Elves vs. Inventors,2R,Creature  - Human Artificer,Red,Common,442782,,,,cardshark,
1,1,0,Shrapnel Blast,Duel Decks: Elves vs. Inventors,1R,Instant,Red,Uncommon,442784,,,,cardshark,
1,1,0,Welding Sparks,Duel Decks: Elves vs. Inventors,2R,Instant,Red,Common,442785,,,,cardshark,
