Count,Tradelist Count,Name,Edition,Card Number,Condition,Language,Foil,Signed,Artist Proof,Altered Art,Misprint,Promo,Textless,My Price
4,0,Azorius Guildgate,Modern Masters 2017 Edition,230,Near Mint,English,,,,,,,,
1,0,Barrage of Boulders,Khans of Tarkir,100,Near Mint,English,,,,,,,,
1,0,Barrage Ogre,Duel Decks: Elves vs. Inventors,44,Near Mint,English,,,,,,,,
1,0,Barrage Tyrant,Battle for Zendikar,127,Near Mint,English,,,,,,,,
1,0,Bathe in Dragonfire,Fate Reforged,92,Near Mint,English,,,,,,,,
1,0,Battle Mastery,Dragons of Tarkir,7,Near Mint,English,,,,,,,,
1,0,Battle Squadron,Duel Decks: Merfolk vs. Goblins,33,Near Mint,English,,,,,,,,
1,0,Beastbreaker of Bala Ged,Duel Decks: Zendikar vs. Eldrazi,10,Near Mint,English,,,,,,,,
3,0,Behind the Scenes,Shadows over Innistrad,100,Near Mint,English,,,,,,,,
1,0,Behold the Beyond,Shadows over Innistrad,101,Near Mint,English,,,,,,,,
1,0,Belligerent Whiptail,Battle for Zendikar,141,Near Mint,English,,,,,,,,
1,0,Biting Rain,Shadows over Innistrad,102,Near Mint,English,,,,,,,,
1,0,Blightcaster,Magic Origins,85,Near Mint,English,,,,,,,,
1,0,Blighted Cataract,Duel Decks: Merfolk vs. Goblins,26,Near Mint,English,,,,,,,,
1,0,Blighted Fen,Battle for Zendikar,230,Near Mint,English,,,,,,,,
2,0,Blighted Gorge,Duel Decks: Merfolk vs. Goblins,58,Near Mint,English,,,,,,,,
1,0,Blood-Cursed Knight,Magic Origins,211,Near Mint,English,,,,,,,,
3,0,Bloodmad Vampire,Shadows over Innistrad,146,Near Mint,English,,,,,,,,
1,0,Bloodrite Invoker,Duel Decks: Zendikar vs. Eldrazi,45,Near Mint,English,,,,,,,,
1,0,Bloodthrone Vampire,Duel Decks: Zendikar vs. Eldrazi,46,Near Mint,English,,,,,,,,
2,0,Boggart Brute,Duel Decks: Merfolk vs. Goblins,34,Near Mint,English,,,,,,,,
4,0,Boros Guildgate,Commander Anthology Volume II,240,Near Mint,English,,,,,,,,
1,0,Briarbridge Patrol,Shadows over Innistrad,195,Near Mint,English,foil,,,,,,,
2,0,Brilliant Spectrum,Battle for Zendikar,70,Near Mint,English,,,,,,,,
1,0,Bristling Boar,Core Set 2019,170,Near Mint,English,,,,,,,,
1,0,Brittle Effigy,Duel Decks: Merfolk vs. Goblins,56,Near Mint,English,,,,,,,,
2,0,Broken Concentration,Shadows over Innistrad,50,Near Mint,English,,,,,,,,
2,0,Brute Strength,Duel Decks: Merfolk vs. Goblins,35,Near Mint,English,,,,,,,,
1,0,Burn from Within,Shadows over Innistrad,148,Near Mint,English,,,,,,,,
1,0,Butcher of Malakir,Duel Decks: Zendikar vs. Eldrazi,47,Near Mint,English,,,,,,,,
2,0,Byway Courier,Shadows over Innistrad,196,Near Mint,English,foil,,,,,,,
1,0,Cadaver Imp,Duel Decks: Zendikar vs. Eldrazi,48,Near Mint,English,,,,,,,,
2,0,Call the Bloodline,Shadows over Innistrad,103,Near Mint,English,,,,,,,,
2,0,Caravan Escort,Duel Decks: Zendikar vs. Eldrazi,3,Near Mint,English,,,,,,,,
2,0,Catalog,Shadows over Innistrad,51,Near Mint,English,,,,,,,,
3,0,Cathar's Companion,Shadows over Innistrad,9,Near Mint,English,,,,,,,,
1,0,Celestial Flare,Magic Origins,8,Near Mint,English,,,,,,,,
1,0,Centaur Courser,Core Set 2019,171,Near Mint,English,,,,,,,,
4,0,Chaplain's Blessing,Shadows over Innistrad,10,Near Mint,English,,,,,,,,
1,0,Circle of Elders,Dragons of Tarkir,176,Near Mint,English,,,,,,,,
1,0,Citadel Castellan,Magic Origins,213,Near Mint,English,,,,,,,,
2,0,Claustrophobia,Duel Decks: Merfolk vs. Goblins,3,Near Mint,English,,,,,,,,
1,0,Claustrophobia,Magic Origins,50,Near Mint,English,,,,,,,,
1,0,Cleaver Riot,Duel Decks: Merfolk vs. Goblins,36,Near Mint,English,,,,,,,,
3,0,Clip Wings,Shadows over Innistrad,197,Near Mint,English,,,,,,,,
1,0,Cloud Manta,Battle for Zendikar,71,Near Mint,English,,,,,,,,
1,0,Coastal Discovery,Battle for Zendikar,73,Near Mint,English,,,,,,,,
1,0,Coat with Venom,Dragons of Tarkir,91,Near Mint,English,,,,,,,,
1,0,Cold-Eyed Selkie,Duel Decks: Merfolk vs. Goblins,25,Near Mint,English,,,,,,,,
1,0,Colossal Dreadmaw,Core Set 2019,172,Near Mint,English,,,,,,,,
2,0,Colossodon Yearling,Dragons of Tarkir,178,Near Mint,English,,,,,,,,
1,0,Compelling Deterrence,Shadows over Innistrad,52,Near Mint,English,,,,,,,,
1,0,Complete Disregard,Battle for Zendikar,90,Near Mint,English,,,,,,,,
1,0,Concentrate,Duel Decks: Merfolk vs. Goblins,4,Near Mint,English,,,,,,,,
1,0,Confirm Suspicions,Shadows over Innistrad,53,Near Mint,English,,,,,,,,
1,0,Confront the Unknown,Shadows over Innistrad,198,Near Mint,English,,,,,,,,
1,0,Consume the Meek,Duel Decks: Zendikar vs. Eldrazi,49,Near Mint,English,,,,,,,,
1,0,Corpsehatch,Duel Decks: Zendikar vs. Eldrazi,50,Near Mint,English,,,,,,,,
1,0,Crawling Sensation,Shadows over Innistrad,199,Near Mint,English,foil,,,,,,,
1,0,Creeping Dread,Shadows over Innistrad,104,Near Mint,English,,,,,,,,
3,0,Crow of Dark Tidings,Shadows over Innistrad,105,Near Mint,English,,,,,,,,
1,0,Cruel Feeding,Journey into Nyx,64,Near Mint,English,,,,,,,,
1,0,Crystalline Nautilus,Journey into Nyx,34,Near Mint,English,,,,,,,,
3,0,Culling Drone,Battle for Zendikar,91,Near Mint,English,,,,,,,,
1,0,Cult of the Waxing Moon,Shadows over Innistrad,201,Near Mint,English,foil,,,,,,,
1,0,Daggerback Basilisk,Duel Decks: Zendikar vs. Eldrazi,11,Near Mint,English,,,,,,,,
1,0,Dance with Devils,Shadows over Innistrad,150,Near Mint,English,,,,,,,,
1,0,Darksteel Citadel,Commander Anthology Volume II,243,Near Mint,English,,,,,,,,
1,0,Darksteel Plate,Duel Decks: Elves vs. Inventors,52,Near Mint,English,,,,,,,,
3,0,Dauntless Cathar,Shadows over Innistrad,11,Near Mint,English,,,,,,,,
3,0,Dead Weight,Shadows over Innistrad,106,Near Mint,English,,,,,,,,
1,0,Deadbridge Shaman,Magic Origins,91,Near Mint,English,,,,,,,,
1,0,Deathcap Cultivator,Shadows over Innistrad,202,Near Mint,English,,,,,,,,
2,0,Debilitating Injury,Khans of Tarkir,68,Near Mint,English,,,,,,,,
1,0,Deny Existence,Shadows over Innistrad,55,Near Mint,English,,,,,,,,
2,0,Devilthorn Fox,Shadows over Innistrad,14,Near Mint,English,,,,,,,,
1,0,Dictate of Karametra,Journey into Nyx,121,Near Mint,English,,,,,,,,
1,0,Diregraf Colossus,Shadows over Innistrad,107,Near Mint,English,,,,,,,,
1,0,Disdainful Stroke,Khans of Tarkir,37,Near Mint,English,,,,,,,,
4,0,Dismal Backwater,Commander 2017,246,Near Mint,English,,,,,,,,
2,0,Dissension in the Ranks,Shadows over Innistrad,152,Near Mint,English,,,,,,,,
1,0,Divine Verdict,Magic Origins,274,Near Mint,English,,,,,,,,
4,0,Dominator Drone,Duel Decks: Zendikar vs. Eldrazi,51,Near Mint,English,,,,,,,,
1,0,Dragon Fodder,Magic Origins,140,Near Mint,English,,,,,,,,
1,0,Dragon Grip,Khans of Tarkir,107,Near Mint,English,,,,,,,,
1,0,Dragonlord Kolaghan,Dragons of Tarkir,218,Near Mint,English,,,,,,,,
1,0,Dragonscale Boon,Khans of Tarkir,131,Near Mint,English,,,,,,,,
1,0,Drana's Emissary,Battle for Zendikar,210,Near Mint,English,,,,,,,,
4,0,Drownyard Explorers,Shadows over Innistrad,56,Near Mint,English,,,,,,,,
1,0,Drunau Corpse Trawler,Shadows over Innistrad,57,Near Mint,English,,,,,,,,
2,0,Dual Shot,Shadows over Innistrad,153,Near Mint,English,,,,,,,,
1,0,Duskwatch Recruiter,Shadows over Innistrad,203,Near Mint,English,foil,,,,,,,
1,0,Dutiful Return,Battle for Zendikar,110,Near Mint,English,,,,,,,,
1,0,Dwarven Priest,Core Set 2019,11,Near Mint,English,,,,,,,,
2,0,Dwynen's Elite,Duel Decks: Elves vs. Inventors,3,Near Mint,English,,,,,,,,
1,0,"Dwynen, Gilt-Leaf Daen",Duel Decks: Elves vs. Inventors,2,Near Mint,English,,,,,,,,
1,0,Eagle of the Watch,Magic Origins,275,Near Mint,English,,,,,,,,
1,0,Eerie Interlude,Shadows over Innistrad,16,Near Mint,English,,,,,,,,
1,0,Elusive Spellfist,Dragons of Tarkir,53,Near Mint,English,,,,,,,,
1,0,Elvish Aberration,Duel Decks: Elves vs. Inventors,4,Near Mint,English,,,,,,,,
1,0,Elvish Archdruid,Duel Decks: Elves vs. Inventors,5,Near Mint,English,,,,,,,,
2,0,Elvish Branchbender,Duel Decks: Elves vs. Inventors,6,Near Mint,English,,,,,,,,
2,0,Elvish Mystic,Duel Decks: Elves vs. Inventors,7,Near Mint,English,,,,,,,,
1,0,Elvish Vanguard,Duel Decks: Elves vs. Inventors,8,Near Mint,English,,,,,,,,
1,0,Elvish Visionary,Magic Origins,175,Near Mint,English,,,,,,,,
1,0,Ember Hauler,Duel Decks: Merfolk vs. Goblins,37,Near Mint,English,,,,,,,,
2,0,Ember-Eye Wolf,Shadows over Innistrad,154,Near Mint,English,,,,,,,,
2,0,Emissary of the Sleepless,Shadows over Innistrad,17,Near Mint,English,,,,,,,,
3,0,Emrakul's Hatcher,Duel Decks: Zendikar vs. Eldrazi,59,Near Mint,English,,,,,,,,
1,0,Engulf the Shore,Duel Decks: Merfolk vs. Goblins,5,Near Mint,English,,,,,,,,
2,0,Engulf the Shore,Shadows over Innistrad,58,Near Mint,English,,,,,,,,
1,0,Epitaph Golem,Shadows over Innistrad,254,Near Mint,English,,,,,,,,
1,0,Equestrian Skill,Shadows over Innistrad,204,Near Mint,English,,,,,,,,
1,0,Equestrian Skill,Shadows over Innistrad,204,Near Mint,English,foil,,,,,,,
1,0,Erase,Khans of Tarkir,9,Near Mint,English,,,,,,,,
2,0,Erdwal Illuminator,Shadows over Innistrad,60,Near Mint,English,,,,,,,,
2,0,Essence Flux,Shadows over Innistrad,61,Near Mint,English,,,,,,,,
2,0,Essence Scatter,Duel Decks: Merfolk vs. Goblins,6,Near Mint,English,,,,,,,,
2,0,Ethereal Guidance,Shadows over Innistrad,18,Near Mint,English,,,,,,,,
1,0,Ever After,Shadows over Innistrad,109,Near Mint,English,,,,,,,,
30,0,Evolving Wilds,Commander Anthology Volume II,249,Near Mint,English,,,,,,,,
1,0,Explorer's Scope,Duel Decks: Zendikar vs. Eldrazi,28,Near Mint,English,,,,,,,,
3,0,Explosive Apparatus,Shadows over Innistrad,255,Near Mint,English,,,,,,,,
3,0,Expose Evil,Shadows over Innistrad,19,Near Mint,English,,,,,,,,
2,0,Ezuri's Archers,Duel Decks: Elves vs. Inventors,9,Near Mint,English,,,,,,,,
1,0,"Ezuri, Renegade Leader",Duel Decks: Elves vs. Inventors,1,Near Mint,English,,,,,,,,
1,0,Faerie Miscreant,Magic Origins,57,Near Mint,English,,,,,,,,
1,0,Falkenrath Gorger,Shadows over Innistrad,155,Near Mint,English,,,,,,,,
3,0,Farbog Revenant,Shadows over Innistrad,110,Near Mint,English,,,,,,,,
1,0,Feat of Resistance,Khans of Tarkir,10,Near Mint,English,,,,,,,,
2,0,Fetid Imp,Magic Origins,97,Near Mint,English,,,,,,,,
1,0,Fierce Empath,Duel Decks: Elves vs. Inventors,10,Near Mint,English,,,,,,,,
1,0,Fiery Hellhound,Magic Origins,284,Near Mint,English,,,,,,,,
3,0,Fiery Temper,Shadows over Innistrad,156,Near Mint,English,,,,,,,,
2,0,Filigree Familiar,Duel Decks: Elves vs. Inventors,53,Near Mint,English,,,,,,,,
1,0,Flameblade Angel,Shadows over Innistrad,157,Near Mint,English,,,,,,,,
1,0,Flatten,Dragons of Tarkir,100,Near Mint,English,,,,,,,,
1,0,Fleeting Memories,Shadows over Innistrad,62,Near Mint,English,,,,,,,,
1,0,Flesh to Dust,Magic Origins,280,Near Mint,English,,,,,,,,
1,0,Font of Fertility,Journey into Nyx,123,Near Mint,English,,,,,,,,
2,0,Forerunner of Slaughter,Duel Decks: Zendikar vs. Eldrazi,64,Near Mint,English,,,,,,,,
1,0,Forerunner of Slaughter,Battle for Zendikar,204,Near Mint,English,,,,,,,,
100,0,Forest,Dominaria,268,Near Mint,English,,,,,,,,
2,0,Forgotten Cave,Duel Decks: Merfolk vs. Goblins,59,Near Mint,English,,,,,,,,
1,0,Forgotten Creation,Shadows over Innistrad,63,Near Mint,English,,,,,,,,
3,0,Fork in the Road,Shadows over Innistrad,205,Near Mint,English,,,,,,,,
2,0,Forked Bolt,Duel Decks: Zendikar vs. Eldrazi,60,Near Mint,English,,,,,,,,
1,0,Fortified Rampart,Battle for Zendikar,27,Near Mint,English,,,,,,,,
1,0,Fortified Village,Shadows over Innistrad,274,Near Mint,English,,,,,,,,
1,0,Foundry of the Consuls,Duel Decks: Elves vs. Inventors,66,Near Mint,English,,,,,,,,
2,0,Foundry Street Denizen,Duel Decks: Merfolk vs. Goblins,38,Near Mint,English,,,,,,,,
1,0,Friendly Fire,Fate Reforged,101,Near Mint,English,,,,,,,,
1,0,Frontier Guide,Duel Decks: Zendikar vs. Eldrazi,12,Near Mint,English,,,,,,,,
1,0,Frontier Mastodon,Fate Reforged,130,Near Mint,English,,,,,,,,
1,0,Frost Walker,Fate Reforged,35,Near Mint,English,,,,,,,,
2,0,Furtive Homunculus,Shadows over Innistrad,64,Near Mint,English,,,,,,,,
2,0,Galvanic Blast,Duel Decks: Elves vs. Inventors,45,Near Mint,English,,,,,,,,
2,0,Game Trail,Shadows over Innistrad,276,Near Mint,English,,,,,,,,
2,0,Gatstaf Arsonists,Shadows over Innistrad,158,Near Mint,English,,,,,,,,
1,0,Geistblast,Shadows over Innistrad,160,Near Mint,English,,,,,,,,
1,0,Gempalm Incinerator,Duel Decks: Merfolk vs. Goblins,39,Near Mint,English,,,,,,,,
1,0,Geyserfield Stalker,Battle for Zendikar,111,Near Mint,English,,,,,,,,
1,0,Ghastbark Twins,Core Set 2019,181,Near Mint,English,,,,,,,,
1,0,Ghirapur Gearcrafter,Duel Decks: Elves vs. Inventors,46,Near Mint,English,,,,,,,,
3,0,Ghostfire,Duel Decks: Merfolk vs. Goblins,40,Near Mint,English,,,,,,,,
2,0,Ghostly Wings,Shadows over Innistrad,66,Near Mint,English,,,,,,,,
4,0,Ghoulcaller's Accomplice,Shadows over Innistrad,112,Near Mint,English,,,,,,,,
1,0,Giant Spider,Core Set 2019,183,Near Mint,English,,,,,,,,
1,0,Gibbering Fiend,Shadows over Innistrad,161,Near Mint,English,,,,,,,,
1,0,Gisa's Bidding,Shadows over Innistrad,114,Near Mint,English,,,,,,,,
1,0,Gladehart Cavalry,Duel Decks: Elves vs. Inventors,11,Near Mint,English,,,,,,,,
1,0,Goblin Charbelcher,Duel Decks: Merfolk vs. Goblins,57,Near Mint,English,,,,,,,,
1,0,Goblin Chieftain,Duel Decks: Merfolk vs. Goblins,41,Near Mint,English,,,,,,,,
1,0,Goblin Diplomats,Duel Decks: Merfolk vs. Goblins,42,Near Mint,English,,,,,,,,
1,0,Goblin Glory Chaser,Duel Decks: Merfolk vs. Goblins,43,Near Mint,English,,,,,,,,
1,0,Goblin Goon,Duel Decks: Merfolk vs. Goblins,44,Near Mint,English,,,,,,,,
1,0,Goblin Grenade,Duel Decks: Merfolk vs. Goblins,45,Near Mint,English,,,,,,,,
1,0,Goblin Rabblemaster,Duel Decks: Merfolk vs. Goblins,46,Near Mint,English,,,,,,,,
1,0,Goblin Razerunners,Duel Decks: Merfolk vs. Goblins,47,Near Mint,English,,,,,,,,
2,0,Goblin Ringleader,Duel Decks: Merfolk vs. Goblins,48,Near Mint,English,,,,,,,,
1,0,Goblin Tunneler,Duel Decks: Merfolk vs. Goblins,49,Near Mint,English,,,,,,,,
2,0,Goblin Wardriver,Duel Decks: Merfolk vs. Goblins,50,Near Mint,English,,,,,,,,
1,0,Goblin Welder,Duel Decks: Elves vs. Inventors,35,Near Mint,English,,,,,,,,
1,0,Godhunter Octopus,Journey into Nyx,39,Near Mint,English,,,,,,,,
4,0,Golgari Guildgate,Modern Masters 2017 Edition,235,Near Mint,English,,,,,,,,
3,0,Gone Missing,Shadows over Innistrad,67,Near Mint,English,,,,,,,,
1,0,Gore Swine,Fate Reforged,103,Near Mint,English,,,,,,,,
1,0,Graf Mole,Shadows over Innistrad,207,Near Mint,English,foil,,,,,,,
1,0,Graf Mole,Shadows over Innistrad,207,Near Mint,English,,,,,,,,
2,0,Graypelt Hunter,Duel Decks: Zendikar vs. Eldrazi,13,Near Mint,English,,,,,,,,
1,0,Grazing Gladehart,Duel Decks: Zendikar vs. Eldrazi,14,Near Mint,English,,,,,,,,
1,0,Great Furnace,Commander Anthology Volume II,255,Near Mint,English,,,,,,,,
2,0,Grim Contest,Fate Reforged,153,Near Mint,English,,,,,,,,
1,0,Grip of Desolation,Battle for Zendikar,94,Near Mint,English,,,,,,,,
3,0,Grotesque Mutation,Shadows over Innistrad,115,Near Mint,English,,,,,,,,
1,0,Groundskeeper,Shadows over Innistrad,208,Near Mint,English,foil,,,,,,,
1,0,Groundswell,Duel Decks: Zendikar vs. Eldrazi,15,Near Mint,English,,,,,,,,
1,0,Gryff's Boon,Shadows over Innistrad,20,Near Mint,English,,,,,,,,
1,0,Gurmag Drowner,Dragons of Tarkir,57,Near Mint,English,,,,,,,,
1,0,Hand of Silumgar,Dragons of Tarkir,105,Near Mint,English,,,,,,,,
1,0,Harbinger of the Tides,Duel Decks: Merfolk vs. Goblins,7,Near Mint,English,,,,,,,,
1,0,Hardened Berserker,Dragons of Tarkir,139,Near Mint,English,,,,,,,,
1,0,Harness the Storm,Shadows over Innistrad,163,Near Mint,English,,,,,,,,
1,0,Harrow,Duel Decks: Zendikar vs. Eldrazi,16,Near Mint,English,,,,,,,,
1,0,Harvest Hand,Shadows over Innistrad,256,Near Mint,English,,,,,,,,
1,0,Haunted Cloak,Shadows over Innistrad,257,Near Mint,English,,,,,,,,
2,0,Heartstabber Mosquito,Duel Decks: Zendikar vs. Eldrazi,52,Near Mint,English,,,,,,,,
1,0,Heir of Falkenrath,Shadows over Innistrad,116,Near Mint,English,,,,,,,,
1,0,Heir of the Wilds,Khans of Tarkir,134,Near Mint,English,,,,,,,,
1,0,Hellion Eruption,Duel Decks: Zendikar vs. Eldrazi,61,Near Mint,English,,,,,,,,
1,0,Herald of Faith,Core Set 2019,13,Near Mint,English,,,,,,,,
2,0,Hermit of the Natterknolls,Shadows over Innistrad,209,Near Mint,English,foil,,,,,,,
1,0,Highland Game,Core Set 2019,188,Near Mint,English,,,,,,,,
4,0,Highland Lake,Core Set 2019,252,Near Mint,English,,,,,,,,
2,0,Hinterland Logger,Shadows over Innistrad,210,Near Mint,English,,,,,,,,
1,0,Hinterland Logger,Shadows over Innistrad,210,Near Mint,English,foil,,,,,,,
1,0,Hitchclaw Recluse,Magic Origins,181,Near Mint,English,,,,,,,,
1,0,Hooded Assassin,Fate Reforged,73,Near Mint,English,,,,,,,,
2,0,Hope Against Hope,Shadows over Innistrad,22,Near Mint,English,,,,,,,,
1,0,Hordeling Outburst,Duel Decks: Merfolk vs. Goblins,51,Near Mint,English,,,,,,,,
3,0,Hound of the Farbogs,Shadows over Innistrad,117,Near Mint,English,,,,,,,,
1,0,Howlpack Resurgence,Shadows over Innistrad,211,Near Mint,English,,,,,,,,
2,0,Howlpack Wolf,Shadows over Innistrad,164,Near Mint,English,,,,,,,,
3,0,Hulking Devil,Shadows over Innistrad,165,Near Mint,English,,,,,,,,
1,0,Humble the Brute,Shadows over Innistrad,23,Near Mint,English,,,,,,,,
2,0,Ichor Wellspring,Duel Decks: Elves vs. Inventors,54,Near Mint,English,,,,,,,,
1,0,Incorrigible Youths,Shadows over Innistrad,166,Near Mint,English,,,,,,,,
1,0,Induce Despair,Duel Decks: Zendikar vs. Eldrazi,53,Near Mint,English,,,,,,,,
1,0,Indulgent Aristocrat,Shadows over Innistrad,118,Near Mint,English,,,,,,,,
1,0,Infernal Scarring,Magic Origins,102,Near Mint,English,,,,,,,,
1,0,Infuse with the Elements,Battle for Zendikar,175,Near Mint,English,,,,,,,,
1,0,Inkfathom Divers,Duel Decks: Merfolk vs. Goblins,8,Near Mint,English,,,,,,,,
1,0,Inner Struggle,Shadows over Innistrad,167,Near Mint,English,,,,,,,,
4,0,Inquisitor's Ox,Shadows over Innistrad,24,Near Mint,English,,,,,,,,
2,0,Insolent Neonate,Shadows over Innistrad,168,Near Mint,English,,,,,,,,
1,0,Inspired Charge,Core Set 2019,15,Near Mint,English,,,,,,,,
3,0,Inspiring Captain,Shadows over Innistrad,25,Near Mint,English,,,,,,,,
1,0,Into the Void,Magic Origins,277,Near Mint,English,,,,,,,,
2,0,Intrepid Provisioner,Shadows over Innistrad,213,Near Mint,English,foil,,,,,,,
1,0,Intrepid Provisioner,Shadows over Innistrad,213,Near Mint,English,,,,,,,,
2,0,Invasive Surgery,Shadows over Innistrad,68,Near Mint,English,,,,,,,,
1,0,Inventor's Goggles,Duel Decks: Elves vs. Inventors,55,Near Mint,English,,,,,,,,
100,0,Island,Dominaria,254,Near Mint,English,,,,,,,,
1,0,It That Betrays,Duel Decks: Zendikar vs. Eldrazi,43,Near Mint,English,,,,,,,,
2,0,Ivy Lane Denizen,Duel Decks: Elves vs. Inventors,12,Near Mint,English,,,,,,,,
3,0,Jace's Scrutiny,Shadows over Innistrad,70,Near Mint,English,,,,,,,,
2,0,Jagged-Scar Archers,Duel Decks: Elves vs. Inventors,13,Near Mint,English,,,,,,,,
1,0,Jeskai Sage,Fate Reforged,38,Near Mint,English,,,,,,,,
1,0,Jeskai Student,Khans of Tarkir,14,Near Mint,English,,,,,,,,
1,0,Joraga Bard,Duel Decks: Zendikar vs. Eldrazi,17,Near Mint,English,,,,,,,,
3,0,Just the Wind,Shadows over Innistrad,71,Near Mint,English,,,,,,,,
1,0,Kabira Vindicator,Duel Decks: Zendikar vs. Eldrazi,4,Near Mint,English,,,,,,,,
2,0,Kessig Dire Swine,Shadows over Innistrad,214,Near Mint,English,,,,,,,,
1,0,Kessig Dire Swine,Shadows over Innistrad,214,Near Mint,English,foil,,,,,,,
1,0,Khalni Heart Expedition,Duel Decks: Zendikar vs. Eldrazi,18,Near Mint,English,,,,,,,,
1,0,Kheru Bloodsucker,Khans of Tarkir,75,Near Mint,English,,,,,,,,
1,0,Kin-Tree Invocation,Khans of Tarkir,183,Near Mint,English,,,,,,,,
1,0,Kindled Fury,Dragons of Tarkir,142,Near Mint,English,,,,,,,,
1,0,Kindly Stranger,Shadows over Innistrad,119,Near Mint,English,,,,,,,,
1,0,Kitesail Scout,Battle for Zendikar,33,Near Mint,English,,,,,,,,
1,0,Knight of Cliffhaven,Duel Decks: Zendikar vs. Eldrazi,5,Near Mint,English,,,,,,,,
1,0,Knight's Pledge,Core Set 2019,19,Near Mint,English,,,,,,,,
2,0,Kozilek's Sentinel,Battle for Zendikar,129,Near Mint,English,,,,,,,,
3,0,Krenko's Command,Duel Decks: Merfolk vs. Goblins,53,Near Mint,English,,,,,,,,
1,0,"Krenko, Mob Boss",Duel Decks: Merfolk vs. Goblins,52,Near Mint,English,,,,,,,,
1,0,Krosan Tusker,Duel Decks: Elves vs. Inventors,14,Near Mint,English,,,,,,,,
1,0,Kujar Seedsculptor,Duel Decks: Elves vs. Inventors,15,Near Mint,English,,,,,,,,
1,0,Lambholt Pacifist,Shadows over Innistrad,215,Near Mint,English,,,,,,,,
3,0,Lamplighter of Selhoff,Shadows over Innistrad,72,Near Mint,English,,,,,,,,
1,0,Lead the Stampede,Duel Decks: Elves vs. Inventors,16,Near Mint,English,,,,,,,,
2,0,Leaf Gilder,Duel Decks: Elves vs. Inventors,17,Near Mint,English,,,,,,,,
1,0,Leaf Gilder,Magic Origins,184,Near Mint,English,,,,,,,,
1,0,Lightning Axe,Shadows over Innistrad,170,Near Mint,English,,,,,,,,
1,0,Liliana's Indignation,Shadows over Innistrad,120,Near Mint,English,,,,,,,,
